YearsExperience,Salary
3.81,43541.51
11.36,83775.61
18.76,103722.12
14.07,78774.61
11.62,75236.06
2.39,38216.15
12.49,66486.13
19.81,108952.73
3.23,41771.88
10.61,75910.74
17.61,109679.88
14.94,95412.78
14.09,85022.78
14.2,81261.13
7.51,72907.11
6.23,55196.26
16.28,95199.82
16.3,95068.22
17.41,100622.06
18.31,102510.96
10.47,69016.4
10.28,68383.98
16.07,94103.26
13.17,79980.06
14.19,83189.19
16.02,94603.98
17.86,100145.53
7.09,65883.59
7.82,48040.62
2.33,44788.13
11.78,83336.28
1.2,24436.55
9.58,66603.21
11.08,72469.08
6.09,47312.66
12.02,74195.91
1.09,28826.14
1.23,43674.51
16.54,100841.24
7.52,66452.65
2.98,45519.08
10.68,67089.72
15.51,89436.9
4.71,51280.91
12.65,74474.82
2.16,42222.09
1.51,34829.55
10.86,71571.56
11.04,77724.34
12.93,83940.85
14.66,86830.29
19.53,113913.11
10.57,66866.11
6.8,60270.28
16.01,96990.03
5.78,51577.18
9.06,67870.44
2.03,31864.03
0.99,38597.49
19.27,106162.07
16.8,94592.83
14.07,91531.03
8.47,60376.61
3.88,38474.65
3.55,36418.94
5.38,54549.0
11.21,68437.53
14.43,96512.45
13.37,73085.75
5.96,62317.13
19.12,107534.58
14.89,89072.39
11.31,72515.02
12.43,81709.9
8.68,64540.63
5.33,56839.53
7.44,60337.01
15.28,91863.51
0.78,31304.63
2.76,40768.94
1.4,37127.21
1.29,26626.0
17.18,91985.0
14.22,90601.63
9.75,69839.89
2.41,38711.15
10.09,70438.21
9.73,70668.71
3.88,42810.95
8.96,61948.91
8.27,64062.6
12.51,75144.44
12.88,83578.57
1.38,27020.79
7.8,66365.56
12.7,83180.06
10.31,72524.78
17.2,103719.66
13.34,91705.48
3.68,49780.74
1.88,28299.99
13.03,75710.82
1.02,30943.79
11.92,77820.95
18.83,107926.25
11.72,73258.27
8.07,63211.09
13.04,78399.57
9.44,64686.14
11.14,67524.8
18.86,100818.09
8.03,55357.58
19.24,102093.5
18.15,107885.56
4.32,42524.71
1.85,50572.09
2.47,42327.27
0.86,34345.48
2.34,35074.76
13.82,88776.08
1.89,34674.53
6.72,57490.15
16.98,110700.7
0.95,33334.91
16.38,101274.91
6.0,50468.79
2.8,41041.91
14.09,95199.5
12.76,77922.71
17.61,109505.06
14.83,92874.3
16.17,91859.18
6.0,57160.74
3.96,50703.06
15.14,93657.0
16.23,87081.99
19.81,105623.72
8.55,62946.59
7.75,60645.24
15.64,95663.57
7.15,59471.18
18.65,97922.35
17.24,100857.18
8.87,68514.46
15.14,93366.9
15.21,96258.25
2.51,44213.27
18.1,104695.03
10.35,71058.86
16.62,88158.88
6.74,59111.96
17.96,102889.25
8.09,63715.63
0.71,26461.59
18.15,97214.51
2.28,44386.13
6.73,56708.69
19.03,109512.34
19.04,106288.95
11.68,76876.94
12.82,85974.72
9.24,64398.53
6.22,55351.04
6.91,55324.46
13.61,82283.96
15.17,89139.35
15.94,94853.83
15.9,91196.47
2.28,45392.86
10.14,66091.75
1.62,35555.23
11.22,72664.6
9.11,73674.27
17.81,102223.7
7.34,64530.59
2.78,33703.43
3.29,44488.6
15.35,95845.98
12.56,80632.43
2.47,45214.97
2.14,35973.89
14.17,93722.33
1.92,49170.01
16.53,94290.89
14.27,84859.38
2.09,45612.13
2.15,46515.2
19.74,106343.59
7.8,59092.19
7.73,59501.16
16.35,88676.11
18.97,101292.13
19.73,103887.38
15.19,86924.51
7.84,61174.82
2.13,39684.13
15.65,100369.96
11.39,70563.76
8.77,70010.93
18.17,101625.7
2.67,40426.09
10.11,73798.86
0.72,27271.97
9.64,70467.58
1.6,37223.92
2.82,43730.05
2.79,42612.89
13.16,94914.9
15.05,87002.8
11.88,74847.78
19.26,103933.76
7.81,58462.52
6.07,51098.61
17.44,105695.81
4.86,56543.0
19.28,104277.63
0.74,28786.27
19.41,110007.63
1.34,32605.36
17.88,104673.82
10.79,74175.3
19.86,101872.53
1.94,45493.66
11.3,84180.02
19.4,104541.65
10.7,70863.12
12.77,82522.42
14.07,87940.68
9.36,70746.92
12.74,91000.55
11.89,76691.78
18.07,98298.84
1.39,28648.22
5.98,50260.48
19.03,105966.46
17.86,110413.36
9.39,64953.17
12.59,81489.28
5.91,53553.62
4.17,52615.42
9.54,80803.14
7.39,56907.13
11.88,75077.98
2.02,43284.11
19.5,111412.25
19.73,118157.97
